id,(Intercept),SoilProfileL,SpeciesPS,SpeciesSOBI,AmendmentControl,AmendmentTBA,TimePeriodB,TimePeriodC,TimePeriodD
d__Bacteria;p__Fibrobacterota,0.30906444545024137,-0.43719416009445433,-0.18751614879157244,0.01155798268865979,-0.26169150834120525,-0.17848624533613752,-0.15979830053848382,0.698403266371699,0.17083428382774568
d__Bacteria;p__GAL15,1.9338137737657888,1.8415375574230057,0.13631208075055312,0.04416609476370808,0.23057453047269058,0.3542699681229944,0.031749899502805864,-1.0592006615278948,-0.3913286356962271
d__Archaea;p__Crenarchaeota,1.7791969132420788,-0.2325007066000722,-0.1377659496401452,-0.17921864145387234,0.10145174111942237,-0.0013670791610547461,-0.007613758261579513,0.6961449820393206,0.44286123700179836
d__Archaea;p__Nanoarchaeota,-0.7348014773271194,-0.06013195403695418,-0.18586440242265947,-0.05685908746740374,0.1420904808652569,-0.09620152507396416,0.08504125319000966,0.014060750433434882,0.35102118061048926
d__Bacteria;p__Abditibacteriota,-0.8505929102029098,-0.47516256165013415,-0.1353330158654122,0.12081199806195722,-0.22047928098430952,-0.18105663010106052,0.08632980910470724,0.08551503151259499,-0.680046214515528
d__Bacteria;p__Dadabacteria,-1.024164108340288,1.6944956932503406,0.32375227666533396,0.07894341631359696,0.2954644395740411,0.39156169985616274,0.16190186527851796,-0.49991603691998465,0.1447214025344994
d__Bacteria;p__MBNT15,1.022465299333111,1.3528820999529894,0.15829859957405357,-0.09241885177661717,0.15462217665642483,0.2886010695513094,-0.011703654544226866,-0.9889696475523508,-0.04683741041545453
d__Bacteria;__,2.070594245585533,-1.3061151463760492,-0.25970538020815337,-0.0887425191377872,0.24703318240418012,-0.02922779347109508,0.050805965772602754,0.2948464518439063,0.30406890527877195
d__Bacteria;p__Zixibacteria,-0.986198986374731,2.347882074768822,-0.048292951643880026,-0.18458369876453956,0.24687826769824564,-0.012010647241227329,0.32409232460447496,-0.00812631602549288,0.03263080257583906
d__Bacteria;p__RCP2-54,-0.9886058644250428,0.6824197702214595,0.006700785474667183,0.161288316102566,-0.27920472866436474,-0.07195013592731914,0.5998608026214863,0.1333160432211486,1.4544519744496698
d__Bacteria;p__FCPU426,-0.9281495129404695,0.03771790043969511,0.04142115255437675,-0.02448805753898385,-0.023658632284939196,-0.13616804395067594,-0.2031340467763796,-0.3418374926046905,-1.1009981228998187
d__Archaea;p__Micrarchaeota,-0.834396173292148,0.23537018626915499,-0.34874716272929607,-0.3566335140598805,-0.020994153534336008,-0.1135223178722474,0.09267639931900067,0.04624775127493419,-0.40458503752045316
